Order ID,Order Date,Customer ID,Product ID,Sales,Profit
US-2019-103800,2019-01-03,DP-13000,OFF-PA-10000174,16.448,5.551199999999998
US-2019-112326,2019-01-04,PO-19195,OFF-BI-10004094,3.539999999999999,-5.487
US-2019-112326,2019-01-04,PO-19195,OFF-LA-10003223,11.784,4.271699999999999
US-2019-112326,2019-01-04,PO-19195,OFF-ST-10002743,272.736,-64.77480000000001
US-2019-141817,2019-01-05,MB-18085,OFF-AR-10003478,19.536,4.884
US-2019-167199,2019-01-06,ME-17320,FUR-CH-10004063,2573.82,746.4077999999997
US-2019-167199,2019-01-06,ME-17320,OFF-AR-10001662,5.48,1.4796000000000005
US-2019-106054,2019-01-06,JO-15145,OFF-AR-10002399,12.78,5.2398
US-2019-167199,2019-01-06,ME-17320,OFF-BI-10004632,609.98,274.491
US-2019-167199,2019-01-06,ME-17320,OFF-FA-10001883,31.12,0.3111999999999995
US-2019-167199,2019-01-06,ME-17320,OFF-PA-10000955,6.54,3.0084
US-2019-130813,2019-01-06,LS-17230,OFF-PA-10002005,19.44,9.3312
US-2019-167199,2019-01-06,ME-17320,TEC-PH-10004539,755.96,204.1092
US-2019-167199,2019-01-06,ME-17320,TEC-PH-10004977,391.98,113.67419999999998
US-2019-105417,2019-01-07,VS-21820,FUR-FU-10004864,76.72800000000001,-53.70959999999999
US-2019-105417,2019-01-07,VS-21820,OFF-BI-10003708,10.429999999999998,-18.252500000000005
US-2019-135405,2019-01-09,MS-17830,OFF-AR-10004078,9.344,1.1679999999999997
US-2019-135405,2019-01-09,MS-17830,TEC-AC-10001266,31.200000000000003,9.749999999999996
US-2019-149020,2019-01-10,AJ-10780,FUR-FU-10000965,51.94,21.2954
US-2019-149020,2019-01-10,AJ-10780,OFF-LA-10004272,2.89,1.3583
US-2019-130092,2019-01-11,SV-20365,FUR-FU-10000010,9.94,3.0813999999999995
US-2019-157147,2019-01-13,BD-11605,FUR-BO-10003034,333.99899999999997,3.929400000000008
US-2019-109232,2019-01-13,ND-18370,FUR-CH-10000422,545.9399999999999,87.35040000000004
US-2019-157147,2019-01-13,BD-11605,OFF-AR-10003514,19.9,6.566999999999998
US-2019-118192,2019-01-13,MM-17920,OFF-BI-10003476,3.4380000000000006,-2.5212000000000003
US-2019-162775,2019-01-13,CS-12250,OFF-BI-10004187,5.64,2.7071999999999994
US-2019-162775,2019-01-13,CS-12250,OFF-EN-10001532,50.94,25.47
US-2019-162775,2019-01-13,CS-12250,OFF-EN-10001990,11.36,5.339199999999999
US-2019-118192,2019-01-13,MM-17920,OFF-PA-10002947,37.408,13.0928
US-2019-162775,2019-01-13,CS-12250,OFF-ST-10000025,572.58,34.354799999999955
US-2019-157147,2019-01-13,BD-11605,OFF-ST-10000078,1325.8500000000001,238.6529999999999
US-2019-162775,2019-01-13,CS-12250,TEC-AC-10003174,646.74,258.696
US-2019-149524,2019-01-14,BS-11590,FUR-BO-10003433,61.96,-53.28560000000001
US-2019-103366,2019-01-15,EH-13990,TEC-AC-10003628,149.95,65.97800000000001
US-2019-115791,2019-01-16,DL-13315,FUR-FU-10001095,127.10400000000001,28.598399999999998
US-2019-115791,2019-01-16,DL-13315,OFF-BI-10001575,18.588000000000005,-13.6312
US-2019-115791,2019-01-16,DL-13315,OFF-LA-10001074,30.072000000000003,10.149299999999997
US-2019-115791,2019-01-16,DL-13315,TEC-PH-10004614,124.19999999999999,-31.05000000000001
US-2019-123477,2019-01-18,DW-13195,OFF-AP-10000692,64.864,6.486400000000003
US-2019-146591,2019-01-19,TS-21340,FUR-BO-10001972,181.47000000000003,-320.597
US-2019-146591,2019-01-19,TS-21340,OFF-BI-10003676,32.34,-23.716
US-2019-146591,2019-01-19,TS-21340,OFF-EN-10002504,108.72,36.693
US-2019-146591,2019-01-19,TS-21340,OFF-PA-10000659,56.064,19.6224
US-2019-147627,2019-01-20,HL-15040,FUR-CH-10002331,1067.94,224.2673999999999
US-2019-167927,2019-01-20,XP-21865,FUR-FU-10002268,14.73,4.860899999999999
US-2019-167927,2019-01-20,XP-21865,FUR-FU-10002918,272.94,30.02340000000001
US-2019-147627,2019-01-20,HL-15040,FUR-FU-10003194,38.6,11.579999999999998
US-2019-148614,2019-01-20,MV-17485,FUR-FU-10003194,19.3,5.789999999999999
US-2019-167927,2019-01-20,XP-21865,OFF-AP-10002311,247.716,93.58160000000001
US-2019-147627,2019-01-20,HL-15040,OFF-AR-10002375,22.959999999999997,6.658399999999997
US-2019-147627,2019-01-20,HL-15040,OFF-AR-10003811,6.63,1.7901
US-2019-167927,2019-01-20,XP-21865,OFF-AR-10004456,43.92,12.736799999999999
US-2019-167927,2019-01-20,XP-21865,OFF-BI-10000605,19.05,8.953499999999998
US-2019-147774,2019-01-20,MM-18280,OFF-BI-10003091,67.194,-51.515399999999985
US-2019-167927,2019-01-20,XP-21865,OFF-BI-10004364,29.700000000000003,13.365
